x,Curve1
22.592,2.2816e+06
25.568,1.9538e+06
29.662,1.6094e+06
34.402,1.4053e+06
39.419,1.1803e+06
44.607,1.0306e+06
52.395,8.326e+05
62.297,6.859e+05
70.51,5.7607e+05
83.84,4.7457e+05
94.89,3.9857e+05
114.21,3.348e+05
130.86,2.8119e+05
155.61,2.2718e+05
178.27,1.9837e+05
209.4,1.6027e+05
225.54,1.4546e+05
268.14,1.2218e+05
307.24,1.0262e+05
360.85,8.453e+04

x,Curve2
56.003,3.1828e+06
58.179,2.5211e+06
60.402,2.2439e+06
62.748,1.7774e+06
64.377,1.4636e+06
66.054,1.182e+06
68.606,9.734e+05
73.05,7.711e+05
76.82,6.108e+05
82.84,4.4768e+05
87.1,3.6867e+05
91.62,2.8641e+05
95.19,2.225e+05
102.62,1.6954e+05
106.57,1.4236e+05
114.87,1.1277e+05
120.8,9.109e+04
133.52,6.548e+04

x,Curve3
7.811,1.7702e+05
9.916,2.2777e+05
12.102,2.614e+05
13.458,2.8003e+05
16.643,3.2882e+05
19.005,3.6876e+05
22.578,4.4296e+05
26.122,5.2002e+05
30.622,6.246e+05
35.907,7.168e+05
40.439,8.808e+05
44.378,9.435e+05
52.012,1.1863e+06
58.606,1.3304e+06
68.695,1.635e+06
75.35,1.9191e+06
89.52,2.3053e+06

x,Curve4
4.2854,16035
5.3009,17987
6.2188,18836
7.69,22118
8.782,24805
11.761,30494
14.934,37484
18.47,43020
21.666,46093
27.143,57966
32.688,6.652e+04
38.839,7.81e+04
45.537,9.169e+04
61.775,1.2352e+05
78.43,1.5534e+05
100.87,2.0924e+05
123.07,2.5716e+05
142.32,3.2333e+05
180.7,4.0663e+05

x,Curve5
5.5326,10634
6.9371,11396
9.298,12215
11.501,13702
15.409,15729
18.072,17242
22.956,19790
28.02,22198
32.42,25471
39.141,28225
44.003,31315
52.979,37618
60.504,41235
75.81,50684
85.43,55554
107.02,6.986e+04
137.72,8.588e+04
165.77,1.0799e+05
191.78,1.2678e+05
237.08,1.5943e+05
263.63,1.7474e+05
300.85,2.1969e+05

x,top
3.239,7.36e+04
3.6774,8.477e+04
4.1778,9.327e+04
4.9715,1.1037e+05
5.8763,1.2039e+05
6.6902,1.3624e+05
7.572,1.5235e+05
8.7,1.7547e+05
9.822,1.9179e+05
11.301,1.9767e+05
12.777,2.0926e+05
14.736,2.1382e+05
17.213,2.3643e+05
20.215,2.5972e+05
24.552,2.7936e+05
30.638,3.063e+05
35.107,3.0781e+05
39.58,3.3389e+05
44.335,3.196e+05
50.205,3.1159e+05
59.702,2.9157e+05
72.5,2.5581e+05
77.35,2.1118e+05
87.32,1.7362e+05
99.46,1.091e+05
112.98,7.673e+04
128.37,59791
136.82,48098
154.74,42916
164.5,33663
175.02,24915
194.56,21100
212.65,17512
227.64,14798
242.84,13285

x,middle
6.5884,14577
7.321,18068
8.496,20623
9.524,23621
11.201,27105
12.975,29500
16.183,35008
19.645,38890
25.53,47181
32.157,57187
49.366,7.304e+04
67.209,7.525e+04
82.52,7.359e+04
100.86,58698
125.92,33905
167.22,20968
198.27,14043

x,bottom
7.524,4744.8
9.39,6914
11.757,9026
13.755,10903
16.099,12887
19.348,16174
25.034,19271
28.724,22660
32.86,24897
39.195,28350
48.878,30482
62.572,30896
73.34,30859
87.31,31574
100.76,29309
121.27,25722
135.08,21793
149.89,18851
162.05,16071
194.18,12320
216.55,9689
256.08,7710
281.13,6253
